start,end,orth,draft_ipa,eng,spn,notes,flags
286.843,288.315,jara tá ntsìnu ra ntáku...,jara t̪á ntsìnu ra nt̪áku...,when it finishes,y cuando termina,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
289.115,290.487,tá kuà'àn nkua'nu ñàà,t̪á kuàʔã̀ nkwaʔnu ñàà,when it is growing,cuando va creciendo,,"t->t̪ (tentative, verify); unmapped char: 'w'"
290.487,292.449,ítsí luu-ka jara ntákasì-tǐ,ítsí luu ka jara nt̪ákasì t̪ǐ,(larvae) then it closes,los huevitos entonces cierra,suena como parecido a (tákasì-tǐ),"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'r'"
292.91,294.988,jara tá nìkěta iin,jara t̪á nìkɛ̌t̪a iĩ,after completing one,cuando cumplen una,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
294.991,296.83,kuàâ òkò kìǐ jara tâ'vǐ-tí,kuàâ òkò kìǐ jara t̪âʔvǐ t̪í,"20 days, they are born",veintena de dias y nacen,(ti) a veces suena como (ri),"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
296.858,298.834,tá ntǎ'vǐ-tí jara iká ra ñàà,t̪á nt̪ǎʔvǐ t̪í jara iká ra ñàà,after they are born,luego que nacen entonces,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
298.84,301.51,tatù ná ta'vǐ iinkàâ kitǐ kúu ntsá'nu-ka jara,t̪at̪ù ná t̪aʔvǐ iinkàâ kit̪ǐ kúu ntsáʔnu ka jara,if another queen is born then,si nace otra reina entonces,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
301.511,305.664,kú ntàsǎtútú tá'àn-tǐ iin iin xóó luu-tí jara ún nkee-tí kù'ùn-tǐ,kú nt̪àsǎt̪út̪ú t̪áʔã̀ t̪ǐ iĩ iĩ ʃóó luu t̪í jara ṹ nkɛɛ t̪í kùʔũ̀ t̪ǐ,a few gather together and they leave,se junta unos cuantos y luego se marchan,"tá'an = recíproco? ""each other""","t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'r'"
307.211,308.076,ñàà,ñàà,,,,
308.081,309.181,ntàà kúu-ñà,nt̪àà kúu ñà,The true is,lo cierto es que,,"t->t̪ (tentative, verify)"
309.187,311.516,meê ra xíkò ntǔxì,mɛɛ̂ ra ʃíkò nt̪ǔʃì,I sell honey,yo vendo miel,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
311.595,313.512,ntǔxì ñàà,nt̪ǔʃì ñàà,honey,miel,,"t->t̪ (tentative, verify)"
313.752,315.577,ntǔxì tsi ità,nt̪ǔʃì tsi it̪à,honeycomb,miel con panal,,"t->t̪ (tentative, verify)"
315.577,317.642,kuě tsà'ǎ ñà-ka kǒo kue ñàà,kwɛ̌ tsàʔǎ ñà ka kǒo kwɛ ñàà,no...I don't have,no...porque no tengo,,unmapped char: 'w'
317.657,320.805,kue kàa kú'mî tavà tavâ mímeé ità ra ñàà,kwɛ kàa kúʔmî t̪avà t̪avâ mímɛɛ́ it̪à ra ñàà,machines to separate the honeycomb,maquinas para sacar el puro panal y,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'w'"
320.805,322.169,sá'a soò kúu-ñà,sáʔa soò kúu ñà,what I do is,lo que hago es,,
322.378,323.748,tá yòǒ ñàà,t̪á yòǒ ñàà,in the month of,en el mes de,,"t->t̪ (tentative, verify); unmapped char: 'y'"
323.766,326.477,tá yòǒ kúmǎní-kà kítsáá ntǔxì ra,t̪á yòǒ kúmǎní kà kítsáá nt̪ǔʃì ra,before the month that honey starts,antes del mes que empiece la miel,kumani - faltar,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
326.488,327.029,távâ,t̪ávâ,I take,saco,,"t->t̪ (tentative, verify)"
327.037,328.496,távâ ñàà ità luu-ka,t̪ávâ ñàà it̪à luu ka,I take the honeycomb,saco el panal,,"t->t̪ (tentative, verify); unmapped char: 'l'"
328.881,332.798,jara takuà ità luu-ka ra xíko síìn ità luu-ka ra ñàà,jara t̪akuà it̪à luu ka ra ʃíko síĩ̀ it̪à luu ka ra ñàà,"then the honeycomb, I sell the honeycomb separately","entonces el panalito, vendo el panalito por separado",xíko síìn = la primera person en síin!,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'r'"
332.811,335.493,rì ità luu-ka ra kuà'ǎ nchuà'a nùǔ kuè'è và'î,rì it̪à luu ka ra kuàʔǎ ntʃuàʔa nùǔ kuɛ̀ʔɛ̀ vàʔî,because honeycomb is good for many illnesses,porque el panalito es bueno para muchas enfermedades,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'"
335.652,337.176,và'î ñàà,vàʔî ñàà,it is good,es bueno,,
337.187,338.14,kue nà,kwɛ nà,to those whose,a los,,unmapped char: 'w'
338.152,340.687,ntúvìxì nìǐ á kue nà ñàà,nt̪úvìʃì nìǐ á kwɛ nà ñàà,blood sweetens or to those that,que se les endulza la sangre o a los que,ntúvìxì nìǐ - diabetes,"t->t̪ (tentative, verify); unmapped char: 'w'"
342.887,343.864,ñà kúu,ñà kúu,that is,que es,,
343.872,347.083,nchíì ké'en ké'en nùǔ ké'en nchuà'a nùǔ kuè'è và'î ra,ntʃíì kɛ́ʔɛ̃ kɛ́ʔɛ̃ nùǔ kɛ́ʔɛ̃ ntʃuàʔa nùǔ kuɛ̀ʔɛ̀ vàʔî ra,many are good for many illnesses,muchos para muchas enfermedades es bueno,ké'en  - muchos,unmapped char: 'r'
347.135,348.388,ñà kúu,ñà kúu,that is,que es,,
348.405,350.946,tsà'ǎ ñà-ka kúu-ñà ntǔ'vâ xíkò ñàà,tsàʔǎ ñà ka kúu ñà nt̪ǔʔvâ ʃíkò ñàà,and that is why I don't usually sell,y por eso es que no suelo vender,tù'va - positivo / ntǔ'va - negativo,"t->t̪ (tentative, verify)"
350.952,354.281,ntǔxì ntǔxì ntùvà'a á ntǔxì kêe ñàà,nt̪ǔʃì nt̪ǔʃì nt̪ùvàʔa á nt̪ǔʃì kɛ̂ɛ ñàà,fixed honey that gets added,miel arreglada que le agregan,ntùvà'a - arreglado,"t->t̪ (tentative, verify)"
354.664,355.641,asúkàr á nchíì-ka,asúkàr á ntʃíì ka,sugar or other things,azúcar u otra cosa,,unmapped char: 'r'
355.643,357.177,mímeé ntǔxì và'a,mímɛɛ́ nt̪ǔʃì vàʔa,pure good honey,pura miel buena,,"t->t̪ (tentative, verify); unmapped char: 'm'"
357.177,359.324,xíkò tavà ñàà,ʃíkò t̪avà ñàà,I sell so that,vendo para que,,"t->t̪ (tentative, verify)"
359.417,360.714,rì tsà'ǎ ñà-ka tsînì-yù ñàà,rì tsàʔǎ ñà ka tsînì yù ñàà,because I know,porque sé,,unmapped char: 'r'; unmapped char: 'y'
360.749,361.432,và'î ra,vàʔî ra,it is good,es buena,,unmapped char: 'r'
361.432,362.251,kuà'ǎ nchuà'a nivǐ ra,kuàʔǎ ntʃuàʔa nivǐ ra,a lot of people,mucha gente,,unmapped char: 'r'
362.251,364.684,ká'àn tuku-nà tsà'î á meé ñùñǔ luu-ka ra,káʔã̀ t̪uku nà tsàʔî á mɛɛ́ ñùñǔ luu ka ra,speak about it (honey) or the bees,habla de ello (la miel) o las abejitas,tsà'ǎ = acerca de / tsà'î = acerca de ello,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'"
364.984,366.334,ñùñǔ luu-ka ra và'a nchuì'î,ñùñǔ luu ka ra vàʔa ntʃuìʔî,bees are very good for,las abejas son muy buenas para,nchuì'î - nchuà'î (Jeremías says the latter),unmapped char: 'l'; unmapped char: 'r'
366.34,368.477,tá kue nà kú'ù kòntò á,t̪á kwɛ nà kúʔù kònt̪ò á,for those with a bad knee,para los que les duele la rodilla,tá - para (en vez de nuu),"t->t̪ (tentative, verify); unmapped char: 'w'"
368.624,369.343,ñàà,ñàà,,,,
369.418,371.481,tsîso á tâ'vǐ tsà'ǎ-nà ra,tsîso á t̪âʔvǐ tsàʔǎ nà ra,cramps or pain in their leg,dar un calambre o dolor de pierna,(rodilla para abajo - tsà'ǎ),"t->t̪ (tentative, verify); unmapped char: 'r'"
371.584,372.402,và'a nchuà'a iñǔ,vàʔa ntʃuàʔa iñǔ,the sting is very good,el aguijón es muy bueno,iñu - aguijón,
372.407,373.179,ñùñǔ luu-ka,ñùñǔ luu ka,of the bee,de la abejita,,unmapped char: 'l'
373.185,374.251,tá ntsà'àn-yù Ñuù ra,t̪á ntsàʔã̀ yù ñuù ra,when I went to Mixtepec,cuando fui a Mixtepec,ñuù - Mixtepec,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
374.257,375.416,kuà'ǎ nchuà'a kue nà,kuàʔǎ ntʃuàʔa kwɛ nà,a lot of people,mucha gente,,unmapped char: 'w'
375.52,376.972,tsíkanuu nùǔ yà'vi-ka ra,tsíkanuu nùǔ yàʔvi ka ra,that was strolling in the square,que andaba por la plaza,nǔyà'vi - plaza,unmapped char: 'r'; unmapped char: 'y'
377.077,380.358,ntsìkà kánkúun-nà ñùñǔ luu tavà nchìntu'ú-nà tsà'ǎ-nà tavà,ntsìkà kánkúũ nà ñùñǔ luu t̪avà ntʃìnt̪uʔú nà tsàʔǎ nà t̪avà,asked on purpose for the bees to put them on their feet so that,pidieron a propósito las abejitas para ponerlas/colocarlas en sus pies para que,para que les pique,"t->t̪ (tentative, verify); unmapped char: 'l'"
381.255,382.451,ntuvà'a nta'á-nà,nt̪uvàʔa nt̪aʔá nà,to heal their hands,para curarse las manos,,"t->t̪ (tentative, verify)"
382.463,384.27,ntuvà'a nta'á-nà á ntuvà'a tsà'ǎ-nà ra,nt̪uvàʔa nt̪aʔá nà á nt̪uvàʔa tsàʔǎ nà ra,to heal their hands or heal their feet,para curarse las manos o los pies,,"t->t̪ (tentative, verify); unmapped char: 'r'"
384.488,386.254,chuun-ka kúu-ñà và'a ñàà,tʃuũ ka kúu ñà vàʔa ñàà,that's what they're good for,para eso es que sirve,,
386.262,387.288,ñùñǔ luu-ka,ñùñǔ luu ka,the bees,las abejitas,,unmapped char: 'l'
389.288,391.274,ñà ntàà ra ñàà,ñà nt̪àà ra ñàà,the truth is that,la verdad es que,,"t->t̪ (tentative, verify); unmapped char: 'r'"
391.662,393.062,ñùñǔ luu-ka ra,ñùñǔ luu ka ra,the bees,las abejitas,,unmapped char: 'l'; unmapped char: 'r'
393.147,394.866,kuà'ǎ nchuà'a chincheé-tí tatù,kuàʔǎ ntʃuàʔa tʃintʃɛɛ́ t̪í t̪at̪ù,they help a lot if,ayudan mucho si,,"t->t̪ (tentative, verify)"
395.088,396.944,ñàà tatù ná sá'a-kó ñàà,ñàà t̪at̪ù ná sáʔa kó ñàà,if we do,si hacemos,,"t->t̪ (tentative, verify)"
397.099,398.09,kaa-kà kò'ǒn,kaa kà kòʔõ̌,go higher,subir más,= tener más,
398.09,399.979,kuà'ǎ-kà kájà kúu ku'mǎ kuà'ǎ-kà ra,kuàʔǎ kà kájà kúu kuʔmǎ kuàʔǎ kà ra,"more boxes, to be able to have more boxes","más cajas, poder tener más cajas",kuni - kuna / ku'mi - ku'ma =kó ?,unmapped char: 'j'; unmapped char: 'm'; unmapped char: 'r'
400.143,403.891,kuà'ǎ nchuà'a kúu kaa kò'ǒn tsi-tí rì kitǐ-ka ra yéè xǔ'un luu-tí yéè,kuàʔǎ ntʃuàʔa kúu kaa kòʔõ̌ tsi t̪í rì kit̪ǐ ka ra yɛ́ɛ̀ ʃǔʔũ luu t̪í yɛ́ɛ̀,one can get rich with the bee because it has money it has,se puede subir/enriquecer con la abejita porque tiene dinero tiene,yéè xu'un - dar dinero // kaa (mM),"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'"
404.829,408.188,kuě tsíní ñú'u kuà'ǎ xèě ñàà xǔ'un chí'ó tìtsi-tí ra,kwɛ̌ tsíní ñúʔu kuàʔǎ ʃɛ̀ɛ̌ ñàà ʃǔʔũ tʃíʔó t̪ìtsi t̪í ra,it is not necessary to invert a lot on them so,no hace falta meterle mucho dinero (a las abejas) y,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'w'"
408.507,410.014,n... kuà'ǎ nchuà'a chincheé-tí yóó ra,n... kuàʔǎ ntʃuàʔa tʃintʃɛɛ́ t̪í yóó ra,they help us a lot (bees),nos ayudan mucho (las abejas),yóó = independent pronoun for the first person plural inclusive (only object?),"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
410.725,413.51,kúu tsìnù-kǒ kúu kòo iin nivǐ iin nà,kúu tsìnù kǒ kúu kòo iĩ nivǐ iĩ nà,you can become a person,puedes llegar a ser una persona,,
414.084,416.047,iin nà kuíka iin nà,iĩ nà kuíka iĩ nà,a rich person a person,una persona rica una persona,,
416.24,417.148,te takuà,t̪ɛ t̪akuà,so that,para que,te = cha ?,"t->t̪ (tentative, verify)"
417.251,419.051,kúu kòo ñà-ka ra tsíní ñú'u,kúu kòo ñà ka ra tsíní ñúʔu,you can be that (person) you need,puedas ser eso (esa persona) necesitas,,unmapped char: 'r'
419.075,419.715,kua...,kwa...,,,,unmapped char: 'w'
419.974,421.245,kuà'a-kó tiémpù-kǒ,kuàʔa kó t̪iɛ́mpù kǒ,to give your time,dar tu tiempo,impersonal = 1person plural inclusive,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'p'"
421.251,422.795,sáchóón tsi-tí ra takuà,sátʃóṍ tsi t̪í ra t̪akuà,to work with them (bees) so that,para trabajar con ellas (abejas) para que,,"t->t̪ (tentative, verify); unmapped char: 'r'"
422.795,423.943,tsìnù-kǒ iin,tsìnù kǒ iĩ,you become a,llegues a ser un,,
424.019,424.689,iin,iĩ,a,un,,
424.7,425.637,kaa-kó kò'ǒn,kaa kó kòʔõ̌,to reach higher,para llegar más arriba,= en la vida en general,
427.57,428.944,ñàà atù,ñàà at̪ù,if,si,,"t->t̪ (tentative, verify)"
432.199,434.769,chíí nùǔ-kà ra atù Sto'ò Nchúxì ná chincheé ra,tʃíí nùǔ kà ra at̪ù st̪oʔò ntʃúʃì ná tʃintʃɛɛ́ ra,further along if God helps you,más adelante si Dios te ayuda,Sto'ò Nchúxì - Dios,"t->t̪ (tentative, verify); unmapped char: 'r'"
434.999,437.303,kúu kaa-kà-yù kù'ùn-yù ra ratù nchíì,kúu kaa kà yù kùʔũ̀ yù ra rat̪ù ntʃíì,I can go higher up if,puedo subir más si es que,kaa-kà-yù = subir más / hacerse más rico,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
437.306,438.399,iin nchíì kue nà,iĩ ntʃíì kwɛ nà,somebody that,alguien que,,unmapped char: 'w'
438.405,439.994,kútoò kutù'va,kút̪oò kut̪ùʔva,likes to learn,le gusta aprender,,"t->t̪ (tentative, verify)"
439.999,441.128,kùnì,kùnì,that wants,que quiere,,
441.136,442.088,kutù'va ra,kut̪ùʔva ra,to learn,aprender,,"t->t̪ (tentative, verify); unmapped char: 'r'"
442.092,445.629,kúu kitsi-kue-ní ra ná chincheé tá'ǎn ná sná'a nùǔ tsi tá'ǎn takuà,kúu kitsi kwɛ ní ra ná tʃintʃɛɛ́ t̪áʔã̌ ná snáʔa nùǔ tsi t̪áʔã̌ t̪akuà,you can come and together we can help each other and teach each other,pueden venir y juntos nos ayudemos y aprendamos los unos de los otros para que,sná'a = enseñar // sna'a nuu tsi ta'an = enseñarnos los unos a los otros / aprender de,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'w'"
445.848,447.151,kúu kaa kò'ǒn,kúu kaa kòʔõ̌,we can go higher,podemos subir,,
449.38,450.224,ñàà,ñàà,,,,
450.24,451.186,ratù ñàà,rat̪ù ñàà,if,si,a veces suena como 'atù',"t->t̪ (tentative, verify); unmapped char: 'r'"
451.186,452.742,ná ñà kúu,ná ñà kúu,,,ná - irr / kúu - cop,
453.24,455.166,kuítâ-yù sáchúùn tsi-tí ra,kuít̪â yù sátʃúũ̀ tsi t̪í ra,I get tired from working with them (bees),me canso de trabajar con ellas (abejas),,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
455.721,458.277,ñà tá'àn-kà inì-yù sáchúùn michú'ni kúu ñàà,ñà t̪áʔã̀ kà inì yù sátʃúũ̀ mitʃúʔni kúu ñàà,what I like the most about working right now is,lo que más me agrada de trabajar ahora mismo es,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'y'"
458.925,460.295,ñàà,ñàà,,,,
460.619,461.53,kámpù,kámpù,field,campo,,unmapped char: 'm'; unmapped char: 'p'
461.601,462.653,ñà sáchúùn,ñà sátʃúũ̀,what I work,lo que trabajo,,
463.073,466.507,kakì-yù tìnanǎ ñà-ka kúu-ñà tá'àn inì-yù teèn ñùñǔ-ka ra mikǐ,kakì yù t̪ìnanǎ ñà ka kúu ñà t̪áʔã̀ inì yù t̪ɛɛ̃̀ ñùñǔ ka ra mikǐ,to sow tomatoes is what I like but the bees never,para sembrar tomates es lo que me gusta pero las abejas nunca,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
466.692,468.095,kúu nàâ inì-yù tsi-tí,kúu nàâ inì yù tsi t̪í,I get tired of them,me aburro de ellas,miki nunca is already negative,"t->t̪ (tentative, verify); unmapped char: 'y'"
469.444,471.547,ñàà michú'ni ra ñùñǔ luu ra kán-,ñàà mitʃúʔni ra ñùñǔ luu ra kã́,now the bees are,ahora mismo las abejas están,,unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'
471.547,473.977,kántú'ú-tí nùǔ ñu'ú má-yù kántú'ú-tí ra,kánt̪úʔú t̪í nùǔ ñuʔú má yù kánt̪úʔú t̪í ra,located in the mother's land they are,localizadas en las tierras de mi madre están,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
474.321,475.214,ñàà,ñàà,,,,
476.01,476.651,cha,tʃa,,,,
476.662,479.425,ñùñǔ luu-ka ra tsíní ñú'u kúku'mí-kó-tí iin ñàà,ñùñǔ luu ka ra tsíní ñúʔu kúkuʔmí kó t̪í iĩ ñàà,the bees we have to have them in a,la abejita la tenemos que tener en un,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'"
479.947,481.276,tsàà tsíka luu nùǔ ínkáà,tsàà tsíka luu nùǔ ínkáà,a bit far where there is,un poco lejos donde hay,,unmapped char: 'l'
481.288,483.784,ichǐ á nùǔ íin ve'e-nà á,itʃǐ á nùǔ íĩ vɛʔɛ nà á,a path or where there are houses of people,un camino o donde hay casas de gente,,
483.891,484.695,ñàà,ñàà,,,,
485.28,488.64,ra tsàà tsíka luu tsíní ñú'u kuíin-tí ra tsà'ǎ ñà-ka kúu-ñà nchàà yukǔ kú'mî-tǐ,ra tsàà tsíka luu tsíní ñúʔu kuíĩ t̪í ra tsàʔǎ ñà ka kúu ñà ntʃàà yukǔ kúʔmî t̪ǐ,they have to be a bit far so that's why I have them up to the mountains,tienen (abejas) que estar un poco lejos por eso los tengo hasta las montañas,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
488.64,491.373,michú'ni ntóyo ùvì-tǐ yachi nùǔ yéè-yù teèn,mitʃúʔni nt̪óyo ùvì t̪ǐ yatʃi nùǔ yɛ́ɛ̀ yù t̪ɛɛ̃̀,right now ther are some close to where I live but,ahora mismo hay dos (algunos) cerca de donde vivo pero,ùvì-ti = un par de (abejas),"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'y'"
491.743,493.703,tsàà yachi kú skǎntà-yù-tǐ kù'ùn-tǐ rì,tsàà yatʃi kú skǎnt̪à yù t̪ǐ kùʔũ̀ t̪ǐ rì,I am about to move them because,ya casi los vou a mover porque,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
493.703,494.936,ñàà,ñàà,,,,
495.433,498.347,tsíní ñú'u kántú'ú-tí nùǔ nùǔ tsíka luu nùǔ yéè-nà,tsíní ñúʔu kánt̪úʔú t̪í nùǔ nùǔ tsíka luu nùǔ yɛ́ɛ̀ nà,they need to be far away from where people live,necesitan estar lejos de donde vive la gente,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'y'"
498.355,499.481,tsi ichǐ,tsi itʃǐ,and from the paths,y de los caminos,,
501.084,503.899,ñàà ñùñǔ luu-ka ra ñà tá'àn inì-à kúu ñàà,ñàà ñùñǔ luu ka ra ñà t̪áʔã̀ inì à kúu ñàà,what bees like is,a las abejitas lo que les gusta es,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'"
504.94,505.533,nt-,nt̪,,,,"t->t̪ (tentative, verify)"
505.7,506.059,ntuv-,nt̪uv,,,,"t->t̪ (tentative, verify)"
506.059,507.059,ntuvà,nt̪uvà,edible herbs,hierbas comestibles,,"t->t̪ (tentative, verify)"
507.1,508.824,ntuvà kúu-ñà tá'àn nchuà'a inì-tǐ,nt̪uvà kúu ñà t̪áʔã̀ ntʃuàʔa inì t̪ǐ,they like edible herbs a lot,les gustan mucho las herbas comestibles,,"t->t̪ (tentative, verify)"
508.828,512.056,tsi ñàà mastántsià-ka tsi ñà kúu,tsi ñàà mast̪ántsià ka tsi ñà kúu,and mustard and others,y la mostaza y otras,,"t->t̪ (tentative, verify); unmapped char: 'm'"
512.8,514.56,ñàà tùtǎvì-ka,ñàà t̪ùt̪ǎvì ka,,,tipo de planta: chequear qué planta es!,"t->t̪ (tentative, verify)"
514.56,517.236,yòǒ michú'ni ra tiémpù michú'ni ra ñà-ka kúu-ñà,yòǒ mitʃúʔni ra t̪iɛ́mpù mitʃúʔni ra ñà ka kúu ñà,"right this month, right this moment, this is what",este mismo mes este mismo tiempo eso es lo que,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'r'; unmapped char: 'y'"
517.244,519.792,sa-... ñà-ka kúu-ñà tsátsí-tí michú'ni tiémpù michú'ni,sa ... ñà ka kúu ñà tsátsí t̪í mitʃúʔni t̪iɛ́mpù mitʃúʔni,this is what the eat right now right this season,es es lo que comen ahorita en esta temporada ahora,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'p'"
519.936,520.72,cha,tʃa,and,y,,
520.736,523.764,tiémpù ñà yéè ità ra tsàà yachi meé soo ità kuàân luu,t̪iɛ́mpù ñà yɛ́ɛ̀ it̪à ra tsàà yatʃi mɛɛ́ soo it̪à kuàã̂ luu,in the flower season most are yellow flowers,la temporada de flores la mayoría son flores amarillas,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'r'; unmapped char: 'y'"
524.056,525.62,tsàà meé soo ñà-ka kúu-ñà,tsàà mɛɛ́ soo ñà ka kúu ñà,those are the ones that,pura de esas es las que,,unmapped char: 'm'
525.62,527.08,tá'àn inì-tǐ ñàà,t̪áʔã̀ inì t̪ǐ ñàà,they like,les gustan,,"t->t̪ (tentative, verify)"
527.368,527.924,cha,tʃa,and,y,,
527.996,529.908,michú'ni ra tsàà yachi meé soo ñàà,mitʃúʔni ra tsàà yatʃi mɛɛ́ soo ñàà,right now only,ahora mismo casi puro,,unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'
529.914,532.658,yutǔ ná'nu kúu-ñà nána-tí,yut̪ǔ náʔnu kúu ñà nána t̪í,they go to the big trees,van a los árboles grandes,,"t->t̪ (tentative, verify); unmapped char: 'y'"
533.764,534.584,ñàà,ñàà,,,,
534.616,538.24,tsà'ǎ ñà-ka ñùñǔ luu-ka ra kuě kúu kantú'ú yachi-tí tsà'ǎ ñàà,tsàʔǎ ñà ka ñùñǔ luu ka ra kwɛ̌ kúu kant̪úʔú yatʃi t̪í tsàʔǎ ñàà,because bees cannot be close to,porque las abejitas no pueden estar cerca de,kántú'ú yachi - estar cerca,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'w'; unmapped char: 'y'"
538.244,539.856,tsà'ǎ kue kitǐ luu,tsàʔǎ kwɛ kit̪ǐ luu,the animals,por los animales,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'w'"
539.864,541.204,tsà'ǎ kue nivǐ,tsàʔǎ kwɛ nivǐ,the people,por la gente,,unmapped char: 'w'
542.156,543.288,tsà'ǎ ñà-ka kúu-ñà,tsàʔǎ ñà ka kúu ñà,that's why,por eso es que,,
543.292,545.94,kuě kúu kantú'ú yachi-tí tsíní ñú'u soo ñàà,kwɛ̌ kúu kant̪úʔú yatʃi t̪í tsíní ñúʔu soo ñàà,they can't be close they only have to,no pueden estar cerca solo tienen que,,"t->t̪ (tentative, verify); unmapped char: 'w'; unmapped char: 'y'"
545.94,547.16,kantú'ú tsíka-tí,kant̪úʔú tsíka t̪í,be far,estar lejos,,"t->t̪ (tentative, verify)"
547.212,549.988,cha iinkàâ tuku kuàâ kúu-ñà tsíní ñú'u soo koo chìkuiî-tǐ,tʃa iinkàâ t̪uku kuàâ kúu ñà tsíní ñúʔu soo koo tʃìkwiî t̪ǐ,and another thing is that they need that there is water,y otra cosa es que necesitan que haya agua,,"t->t̪ (tentative, verify); unmapped char: 'w'"
550.004,552.788,tsíní ñú'u soo koo-tí iin nùǔ yéè chìkuiî,tsíní ñúʔu soo koo t̪í iĩ nùǔ yɛ́ɛ̀ tʃìkwiî,it is very important that they live in a place with water,es muy importante que vivan donde hay agua,,"t->t̪ (tentative, verify); unmapped char: 'w'; unmapped char: 'y'"
553.092,554.884,tsí- ñàà,tsí ñàà,,,,
555.648,556.972,tsíní ñú'u soo,tsíní ñúʔu soo,it is important,es importante,,
556.984,557.664,ñàà,ñàà,,,,
557.67,559.822,koo koo iin nùǔ súkù,koo koo iĩ nùǔ súkù,to have a high place,tener un sitio alto,,
559.956,561.136,koo iin nùǔ súkù luu,koo iĩ nùǔ súkù luu,to have a little high place,tener un sitio altito,,unmapped char: 'l'
561.14,561.78,kúu ntoyo-tí,kúu nt̪oyo t̪í,for them to be at,para que estén,,"t->t̪ (tentative, verify); unmapped char: 'y'"
561.792,563.088,cha tsíní ñú'u soo kani và'a,tʃa tsíní ñúʔu soo kani vàʔa,and it is important that it hits well,y es importante que pegue bien,hit = the sun,
563.092,565.972,nìkànchiǐ nùǔ ntóyo-tí tavà kuà'a-tí ntǔxì tatù,nìkàntʃiǐ nùǔ nt̪óyo t̪í t̪avà kuàʔa t̪í nt̪ǔʃì t̪at̪ù,the sun where they are so that they give honey if,el sol en donde están para que den miel si,,"t->t̪ (tentative, verify); unmapped char: 'y'"
566.14,567.752,ná kúu ntoyo-tí katǐ ra,ná kúu nt̪oyo t̪í kat̪ǐ ra,if they are in the shade,si están en la sombra,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
567.764,568.656,ñàà,ñàà,,,,
569.764,572.136,kúu kú'ntú-tí ra tsàà yachi vǎsa tsá'a-tí ntǔxì,kúu kúʔnt̪ú t̪í ra tsàà yatʃi vǎsa tsáʔa t̪í nt̪ǔʃì,they become lazy and they don't give honey,se hacen flojas y ya no dan miel,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
573.86,575.752,(a ver un consejo....),(a vɛr ũ consɛjo....),,,check!,unmapped char: 'c'; unmapped char: 'j'; unmapped char: 'r'
577.912,578.784,ñàà,ñàà,,,,
